Year,Month,Day,TA_F,SW_IN_F,VPD_F
1996,3,10,-8.988,190.139,1.183
1996,3,11,-3.26,190.107,1.941
1996,3,12,-2.534,190.141,2.4
1996,3,13,1.365,189.796,2.64
1996,3,14,1.854,165.113,2.344
1996,3,15,3.644,117.273,1.03
1996,3,16,-2.608,87.13,1.261
1996,3,17,-3.464,164.082,1.965
1996,3,18,-0.297,203.435,2.356
1996,3,19,2.254,201.852,2.998
1996,3,20,2.017,70.407,1.337
1996,3,21,2.262,42.631,0.204
1996,3,22,2.857,135.636,0.69
1996,3,23,1.306,117.861,1.532
1996,3,24,-0.386,192.098,2.987
1996,3,25,2.949,206.239,3.621
1996,3,26,7.443,146.728,3.73
1996,3,27,-4.014,224.801,2.509
1996,3,28,-3.875,231.265,2.762
1996,3,29,-0.309,220.301,3.497
1996,3,30,-0.543,234.268,3.564
1996,3,31,-0.236,233.133,2.729
1996,4,1,3.546,232.259,3.358
1996,4,2,1.501,47.266,0.843
1996,4,3,-1.495,238.007,3.298
1996,4,4,0.032,237.497,3.178
1996,4,5,3.992,131.472,2.596
1996,4,6,2.919,149.577,2.778
1996,4,7,1.493,189.068,3.187
1996,4,8,0.648,123.812,2.14
1996,4,9,1.218,150.709,1.863
1996,4,10,-0.177,25.31,0.436
1996,4,11,2.699,156.679,1.872
1996,4,12,5.701,217.962,4.065
1996,4,13,2.94,263.966,3.888
1996,4,14,1.063,33.405,0.719
1996,4,15,4.734,223.18,3.128
1996,4,16,3.363,91.268,2.016
1996,4,17,5.208,85.31,0.671
1996,4,18,4.669,144.378,1.264
1996,4,19,7.057,248.245,3.919
1996,4,20,9.671,216.169,3.851
1996,4,21,14.382,200.226,5.025
1996,4,22,12.785,265.953,6.659
1996,4,23,12.167,135.362,2.498
1996,4,24,8.944,105.926,1.811
1996,4,25,6.705,262.281,5.561
1996,4,26,12.148,199.947,4.239
1996,4,27,10.713,155.321,1.485
1996,4,28,4.954,249.379,4.644
1996,4,29,7.449,272.321,5.649
1996,4,30,6.34,32.408,1.072
1996,5,1,11.401,136.958,2.289
1996,5,2,9.373,226.674,2.476
1996,5,3,9.578,236.704,4.775
1996,5,4,10.837,201.624,4.244
1996,5,5,9.432,272.16,6.099
1996,5,6,5.712,253.295,5.442
1996,5,7,9.185,278.37,7.061
1996,5,8,11.538,259.361,7.441
1996,5,9,8.959,290.002,6.261
1996,5,10,8.132,62.155,2.397
1996,5,11,7.543,30.409,0.304
1996,5,12,4.373,42.784,0.295
1996,5,13,4.892,237.517,3.494
1996,5,14,6.238,266.081,4.282
1996,5,15,6.959,241.177,2.15
1996,5,16,10.693,283.971,5.738
1996,5,17,10.122,119.536,2.223
1996,5,18,13.639,277.504,5.912
1996,5,19,11.461,86.498,1.384
1996,5,20,14.375,104.903,1.686
1996,5,21,17.327,87.12,1.283
1996,5,22,15.73,249.71,5.043
1996,5,23,13.289,241.653,3.798
1996,5,24,10.126,296.952,6.666
1996,5,25,6.783,287.796,5.763
1996,5,26,8.177,268.173,5.973
1996,5,27,9.515,274.822,5.757
1996,5,28,11.911,253.677,6.089
1996,5,29,9.81,151.287,3.714
1996,5,30,6.167,45.199,0.348
1996,5,31,12.78,235.312,6.74
1996,6,1,17.456,306.945,11.442
1996,6,2,19.01,313.219,12.08
1996,6,3,16.867,302.899,9.362
1996,6,4,16.255,118.891,1.466
1996,6,5,18.24,250.408,5.052
1996,6,6,17.579,256.873,8.304
1996,6,7,16.924,126.619,4.658
1996,6,8,17.762,277.346,7.193
1996,6,9,16.779,218.005,6.499
1996,6,10,15.959,90.708,1.62
1996,6,11,22.54,260.11,9.264
1996,6,12,22.15,246.447,5.928
1996,6,13,20.44,175.064,4.162
1996,6,14,18.549,174.235,1.712
1996,6,15,19.006,279.439,7.15
1996,6,16,16.965,305.464,9.488
1996,6,17,18.362,261.172,8.364
1996,6,18,16.827,308.266,8.278
1996,6,19,18.61,290.659,10.126
1996,6,20,17.347,248.922,5.832
1996,6,21,10.805,34.97,1.405
1996,6,22,11.07,184.718,2.554
1996,6,23,9.477,17.643,0.407
1996,6,24,14.514,188.958,4.643
1996,6,25,12.221,42.008,0.859
1996,6,26,13.056,162.03,5.343
1996,6,27,16.771,273.43,10.644
1996,6,28,16.945,287.638,9.621
1996,6,29,17.892,309.282,10.913
1996,6,30,17.365,275.34,9.238
1996,7,1,19.285,212.85,6.211
1996,7,2,20.634,243.29,8.63
1996,7,3,17.848,207.959,5.006
1996,7,4,17.091,103.501,1.705
1996,7,5,17.118,149.962,2.532
1996,7,6,18.211,187.84,6.079
1996,7,7,18.886,298.452,10.328
1996,7,8,18.508,164.261,4.203
1996,7,9,19.085,169.178,3.07
1996,7,10,18.698,238.279,6.47
1996,7,11,19.439,276.694,11.208
1996,7,12,20.789,256.044,11.846
1996,7,13,17.374,51.528,2.331
1996,7,14,20.816,209.572,7.553
1996,7,15,19.001,92.725,2.404
1996,7,16,22.295,261.631,9.175
1996,7,17,20.92,243.445,8.296
1996,7,18,22.111,287.628,12.401
1996,7,19,20.003,178.767,4.984
1996,7,20,13.351,93.242,2.604
1996,7,21,14.933,174.501,4.833
1996,7,22,17.79,302.277,9.613
1996,7,23,18.583,245.663,7.41
1996,7,24,16.716,112.655,2.427
1996,7,25,17.68,219.515,4.37
1996,7,26,16.587,56.727,0.604
1996,7,27,17.876,196.696,2.593
1996,7,28,18.503,224.278,6.599
1996,7,29,17.721,225.688,5.716
1996,7,30,17.897,202.746,6.417
1996,7,31,17.61,244.157,6.294
1996,8,1,13.596,45.42,1.016
1996,8,2,17.162,196.329,4.28
1996,8,3,19.314,229.937,6.227
1996,8,4,19.774,238.724,5.719
1996,8,5,21.693,256.146,8.172
1996,8,6,23.343,272.072,12.095
1996,8,7,23.707,255.914,11.608
1996,8,8,22.397,231.594,8.428
1996,8,9,20.616,111.279,2.579
1996,8,10,18.828,206.871,3.255
1996,8,11,16.142,279.012,8.519
1996,8,12,16.294,252.253,8.086
1996,8,13,17.094,185.433,7.792
1996,8,14,18.553,258.992,8.923
1996,8,15,18.225,263.931,9.742
1996,8,16,17.814,210.56,6.347
1996,8,17,18.378,172.011,4.526
1996,8,18,18.334,202.463,5.304
1996,8,19,16.406,260.891,7.818
1996,8,20,17.65,258.124,8.483
1996,8,21,18.347,86.879,2.904
1996,8,22,20.297,213.31,6.785
1996,8,23,20.858,186.708,6.775
1996,8,24,19.41,221.171,8.733
1996,8,25,19.534,246.619,10.979
1996,8,26,19.007,229.346,8.959
1996,8,27,16.423,203.234,5.395
1996,8,28,17.179,186.082,4.846
1996,8,29,18.27,217.946,6.531
1996,8,30,15.624,240.589,8.894
1996,8,31,19.959,227.418,10.686
1996,9,1,20.44,232.069,8.565
1996,9,2,17.783,103.859,4.081
1996,9,3,16.112,145.009,4.579
1996,9,4,18.566,224.435,7.553
1996,9,5,21.71,212.086,9.253
1996,9,6,20.812,220.746,11.435
1996,9,7,16.201,225.825,8.334
1996,9,8,13.191,122.524,3.889
1996,9,9,14.538,19.619,0.348
1996,9,10,17.757,89.051,1.148
1996,9,11,16.658,133.743,4.612
1996,9,12,15.648,118.759,4.758
1996,9,13,11.092,12.122,1.544
1996,9,14,13.356,1.495,0.315
1996,9,15,12.27,62.617,1.255
1996,9,16,12.481,85.894,1.54
1996,9,17,13.78,159.883,4.377
1996,9,18,12.414,68.042,2.316
1996,9,19,13.185,184.276,5.983
1996,9,20,14.076,159.512,5.847
1996,9,21,14.981,156.191,5.969
1996,9,22,11.275,152.855,5.852
1996,9,23,9.999,114.807,4.581
1996,9,24,8.847,128.885,3.537
1996,9,25,7.431,25.148,1.115
1996,9,26,8.836,153.916,4.271
1996,9,27,9.738,179.105,4.649
1996,9,28,14.396,106.97,4.718
1996,9,29,15.209,117.475,3.946
1996,9,30,11.886,172.264,5.594
1996,10,1,10.632,166.576,4.84
1996,10,2,14.262,166.386,5.698
1996,10,3,9.013,105.475,3.529
1996,10,4,3.834,160.183,4.349
1996,10,5,3.387,169.618,3.329
1996,10,6,5.331,163.989,2.836
1996,10,7,8.417,158.032,2.603
1996,10,8,10.618,137.292,2.606
1996,10,9,8.914,22.002,0.716
1996,10,10,9.386,75.892,1.07
1996,10,11,4.843,141.038,2.524
1996,10,12,2.751,142.802,2.041
1996,10,13,5.865,99.245,2.152
1996,10,14,7.01,51.585,2.014
1996,10,15,0.557,153.334,3.924
1996,10,16,4.486,143.389,4.021
1996,10,17,4.214,144.283,3.783
1996,10,18,3.331,141.21,2.439
1996,10,19,3.232,124.412,1.481
1996,10,20,4.581,115.078,2.55
1996,10,21,7.121,105.366,3.323
1996,10,22,8.102,2.062,0.757
1996,10,23,7.133,90.576,1.306
1996,10,24,7.94,22.534,0.682
1996,10,25,8.072,80.197,2.426
1996,10,26,7.657,121.936,4.185
1996,10,27,5.236,116.049,2.655
1996,10,28,6.341,9.208,0.497
1996,10,29,4.157,77.931,3.122
1996,10,30,1.543,62.952,1.422
1996,10,31,5.528,53.425,1.371
1996,11,1,1.61,96.139,2.715
1996,11,2,0.94,91.832,1.403
1996,11,3,-1.308,99.288,1.948
1996,11,4,0.336,107.443,2.414
1996,11,5,2.462,82.772,1.962
1996,11,6,2.789,84.961,1.67
1996,11,7,6.099,36.56,0.886
1996,11,8,13.154,22.315,1.206
1996,11,9,13.865,54.313,2.499
1996,11,10,6.726,20.781,0.294
1996,11,11,3.089,77.753,1.726
1996,11,12,-1.092,90.244,1.852
1996,11,13,-3.55,86.394,1.993
1996,11,14,-5.555,95.401,1.952
1996,11,15,-6.649,94.682,1.771
1996,11,16,-3.16,95.636,2.586
1996,11,17,1.063,87.942,3.501
1996,11,18,1.738,81.891,1.843
1996,11,19,1.192,15.647,0.315
1996,11,20,1.118,26.097,0.279
1996,11,21,0.921,35.197,0.879
1996,11,22,1.612,53.077,1.675
1996,11,23,1.116,58.409,2.364
1996,11,24,-5.28,83.434,1.813
1996,11,25,-3.852,40.167,1.559
1996,11,26,-3.764,1.697,0.456
1996,11,27,-7.048,54.396,0.85
1996,11,28,-6.991,69.325,0.593
1996,11,29,-7.682,67.546,0.485
1996,11,30,-8.276,63.236,0.542
1996,12,1,3.478,2.439,0.624
1996,12,2,6.301,1.485,0.277
1996,12,3,-0.478,65.772,1.091
1996,12,4,-0.397,41.895,0.988
1996,12,5,-2.307,62.169,1.502
1996,12,6,-3.763,51.29,1.608
1996,12,7,-1.06,46.41,1.169
1996,12,8,1.467,5.125,0.353
1996,12,9,-3.171,39.549,0.655
1996,12,10,-4.496,63.602,0.763
1996,12,11,-1.871,36.554,0.819
1996,12,12,0.121,37.916,0.991
1996,12,13,-0.802,49.967,1.101
1996,12,14,0.551,13.343,0.476
1996,12,15,-0.262,15.694,0.494
1996,12,16,0.228,30.746,0.738
1996,12,17,5.043,3.009,0.225
1996,12,18,6.193,34.536,0.4
1996,12,19,1.826,1.685,0.188
1996,12,20,-2.95,59.171,1.13
1996,12,21,-7.006,71.762,1.302
1996,12,22,-3.466,30.814,1.178
1996,12,23,-1.485,44.651,0.741
1996,12,24,4.836,20.451,0.395
1996,12,25,-4.716,55.418,0.816
1996,12,26,-8.165,64.189,1.425
1996,12,27,-3.655,64.022,0.912
1996,12,28,-2.1,42.474,1.01
1996,12,29,4.463,18.437,0.266
1996,12,30,-7.56,72.081,0.938
1996,12,31,-18.291,40.964,0.561
1997,1,1,-14.102,74.149,1.064
1997,1,2,-7.514,21.151,0.976
1997,1,3,-8.849,10.228,0.407
1997,1,4,-6.23,57.986,0.606
1997,1,5,-2.466,1.847,0.247
1997,1,6,0.776,38.425,1.114
1997,1,7,-7.175,51.895,0.998
1997,1,8,-9.118,67.062,0.888
1997,1,9,-7.826,75.878,0.705
1997,1,10,-1.739,2.958,0.63
1997,1,11,-4.115,60.549,1.329
1997,1,12,-8.762,58.794,0.774
1997,1,13,-5.799,75.594,0.888
1997,1,14,-6.754,59.751,0.891
1997,1,15,-5.514,77.628,0.764
1997,1,16,1.382,6.972,0.86
1997,1,17,-15.424,85.534,0.57
1997,1,18,-17.444,87.489,0.342
1997,1,19,-19.358,89.142,0.253
1997,1,20,-7.892,43.506,0.686
1997,1,21,-9.654,89.824,0.675
1997,1,22,-1.047,26.143,2.198
1997,1,23,-2.528,71.438,1.604
1997,1,24,-14.394,85.975,0.514
1997,1,25,2.951,3.799,0.332
1997,1,26,-8.524,92.336,0.804
1997,1,27,-14.936,101.931,0.68
1997,1,28,-4.646,7.201,0.774
1997,1,29,-14.434,102.528,0.546
1997,1,30,-19.568,99.723,0.261
1997,1,31,-9.459,20.756,0.27
1997,2,1,-1.236,13.381,0.226
1997,2,2,-3.369,102.572,1.12
1997,2,3,-4.582,43.32,0.792
1997,2,4,-8.411,113.325,0.758
1997,2,5,-1.185,3.421,0.253
1997,2,6,-2.362,118.277,1.68
1997,2,7,-6.609,106.01,1.003
1997,2,8,-13.781,125.474,0.543
1997,2,9,-12.92,123.805,1.101
1997,2,10,-5.893,88.963,1.008
1997,2,11,-10.538,122.447,0.636
1997,2,12,-6.935,70.924,0.771
1997,2,13,-10.075,132.438,0.768
1997,2,14,-8.206,53.412,0.552
1997,2,15,-0.411,74.16,1.529
1997,2,16,-10.189,137.047,0.933
1997,2,17,-14.976,140.698,0.604
1997,2,18,0.027,114.611,2.884
1997,2,19,4.713,59.763,2.183
1997,2,20,-3.904,143.601,1.46
1997,2,21,1.534,18.615,1.193
1997,2,22,2.708,32.809,1.19
1997,2,23,-8.158,152.834,1.308
1997,2,24,-9.485,129.191,1.123
1997,2,25,-13.751,156.559,0.637
1997,2,26,-2.898,118.041,2.371
1997,2,27,1.269,33.094,0.821
1997,2,28,-1.006,115.21,1.606
1997,3,1,-2.879,113.576,1.221
1997,3,2,4.535,29.151,1.667
1997,3,3,-5.29,159.459,1.654
1997,3,4,-6.015,84.857,1.116
1997,3,5,-0.645,123.444,1.74
1997,3,6,-2.232,10.157,0.572
1997,3,7,-7.547,175.721,1.5
1997,3,8,-9.777,108.754,0.952
1997,3,9,-11.207,189.04,1.123
1997,3,10,-4.704,34.942,0.541
1997,3,11,-1.302,135.175,1.477
1997,3,12,-5.36,180.566,1.602
1997,3,13,-11.776,195.136,1.122
1997,3,14,-6.886,155.465,1.502
1997,3,15,0.308,106.819,1.979
1997,3,16,-8.941,194.306,1.348
1997,3,17,-6.553,164.714,1.525
1997,3,18,-4.798,201.571,1.839
1997,3,19,-6.085,204.81,1.949
1997,3,20,-3.707,120.611,1.296
1997,3,21,-2.726,209.691,2.11
1997,3,22,-4.634,81.242,1.447
1997,3,23,-7.564,208.429,1.483
1997,3,24,-5.839,202.852,1.897
1997,3,25,-2.16,217.231,2.616
1997,3,26,3.385,109.76,2.607
1997,3,27,0.32,163.94,2.308
1997,3,28,1.958,207.979,3.269
1997,3,29,5.573,127.652,2.214
1997,3,30,3.686,85.634,1.322
1997,3,31,-1.658,63.816,1.192
1997,4,1,-1.38,114.544,2.206
1997,4,2,-0.781,181.512,3.109
1997,4,3,0.186,249.804,3.349
1997,4,4,0.837,67.971,1.907
1997,4,5,3.907,238.858,3.491
1997,4,6,3.151,38.205,0.671
1997,4,7,9.053,129.223,1.524
1997,4,8,0.5,236.732,3.283
1997,4,9,-3.638,220.726,2.491
1997,4,10,-1.742,252.27,3.026
1997,4,11,0.845,244.127,3.856
1997,4,12,3.108,256.832,4.526
1997,4,13,2.324,85.171,0.736
1997,4,14,1.655,197.578,2.58
1997,4,15,1.244,272.574,3.729
1997,4,16,5.202,259.148,4.852
1997,4,17,6.683,161.809,2.732
1997,4,18,3.918,44.971,0.741
1997,4,19,3.923,171.541,3.605
1997,4,20,5.941,230.624,4.368
1997,4,21,6.196,227.321,4.129
1997,4,22,6.369,231.889,3.313
1997,4,23,5.821,160.181,3.204
1997,4,24,5.504,177.534,3.878
1997,4,25,4.883,237.874,4.251
1997,4,26,5.643,228.396,4.523
1997,4,27,6.601,285.032,5.777
1997,4,28,3.747,78.883,2.097
1997,4,29,4.277,194.163,2.54
1997,4,30,8.504,248.596,4.478
1997,5,1,11.782,224.178,3.866
1997,5,2,9.196,175.125,3.472
1997,5,3,5.057,177.378,3.891
1997,5,4,9.106,160.818,2.519
1997,5,5,6.403,271.39,5.297
1997,5,6,8.189,197.514,4.395
1997,5,7,5.312,35.941,0.201
1997,5,8,4.93,155.628,2.447
1997,5,9,5.953,216.291,3.281
1997,5,10,6.953,192.454,2.853
1997,5,11,7.432,208.027,3.745
1997,5,12,10.942,210.157,5.286
1997,5,13,11.618,127.933,2.71
1997,5,14,9.979,188.161,2.589
1997,5,15,10.451,213.075,3.028
1997,5,16,7.99,13.166,0.452
1997,5,17,9.884,241.536,5.912
1997,5,18,8.67,238.007,5.2
1997,5,19,9.569,192.665,4.836
1997,5,20,8.611,96.514,1.73
1997,5,21,8.764,227.869,3.018
1997,5,22,7.349,167.043,1.462
1997,5,23,7.795,240.927,3.762
1997,5,24,10.11,246.404,5.659
1997,5,25,9.53,25.024,0.789
1997,5,26,8.061,217.849,2.943
1997,5,27,9.565,277.666,5.95
1997,5,28,13.019,268.926,8.078
1997,5,29,14.494,245.315,7.962
1997,5,30,14.642,208.81,6.823
1997,5,31,15.859,190.423,4.836
1997,6,1,14.536,169.385,4.93
1997,6,2,13.743,320.138,9.445
1997,6,3,13.238,286.346,7.493
1997,6,4,13.351,286.433,7.416
1997,6,5,10.587,178.676,4.369
1997,6,6,12.135,250.712,5.652
1997,6,7,13.769,323.254,7.688
1997,6,8,14.681,317.184,8.689
1997,6,9,18.017,281.722,11.282
1997,6,10,23.423,294.878,17.648
1997,6,11,21.067,322.163,14.848
1997,6,12,17.833,163.874,6.442
1997,6,13,17.613,239.603,4.24
1997,6,14,15.943,270.474,5.937
1997,6,15,14.237,290.492,9.964
1997,6,16,15.445,314.837,10.549
1997,6,17,16.96,146.932,4.42
1997,6,18,18.169,154.635,3.992
1997,6,19,18.508,183.895,5.447
1997,6,20,19.143,319.735,12.151
1997,6,21,20.28,172.36,5.457
1997,6,22,20.998,95.35,1.752
1997,6,23,18.57,315.745,9.521
1997,6,24,18.294,306.894,11.976
1997,6,25,17.208,177.151,8.194
1997,6,26,21.091,246.619,6.888
1997,6,27,18.424,271.807,7.862
1997,6,28,20.261,279.909,11.997
1997,6,29,24.166,281.093,16.314
1997,6,30,24.751,283.345,18.101
1997,7,1,24.22,241.172,15.074
1997,7,2,22.568,281.444,11.718
1997,7,3,19.415,104.98,3.543
1997,7,4,17.932,148.184,1.527
1997,7,5,18.273,300.086,10.65
1997,7,6,20.257,295.766,13.632
1997,7,7,20.887,249.84,12.754
1997,7,8,20.297,284.149,11.479
1997,7,9,18.125,89.307,2.483
1997,7,10,17.159,235.298,7.183
1997,7,11,20.32,298.765,13.616
1997,7,12,22.205,274.079,13.16
1997,7,13,20.737,234.1,5.558
1997,7,14,21.399,178.527,5.653
1997,7,15,18.243,229.471,11.04
1997,7,16,19.43,159.503,6.266
1997,7,17,23.005,272.153,9.006
1997,7,18,22.032,262.126,8.699
1997,7,19,16.078,245.718,6.563
1997,7,20,15.583,274.371,9.574
1997,7,21,17.962,238.365,11.246
1997,7,22,17.873,263.128,10.261
1997,7,23,17.547,305.164,10.218
1997,7,24,18.072,299.267,10.299
1997,7,25,18.025,302.819,9.931
1997,7,26,21.978,276.468,13.069
1997,7,27,23.41,249.028,12.109
1997,7,28,22.235,194.177,8.893
1997,7,29,17.276,235.782,10.019
1997,7,30,19.949,286.256,13.56
1997,7,31,21.15,242.28,13.307
1997,8,1,23.1,229.281,16.016
1997,8,2,20.778,195.671,7.441
1997,8,3,18.909,226.934,7.541
1997,8,4,17.194,253.397,10.858
1997,8,5,17.115,184.229,7.202
1997,8,6,15.134,199.488,4.447
1997,8,7,17.858,283.399,10.622
1997,8,8,20.942,236.331,11.507
1997,8,9,20.19,107.671,7.208
1997,8,10,23.579,249.182,13.976
1997,8,11,23.014,204.994,9.354
1997,8,12,17.21,273.859,7.483
1997,8,13,15.491,108.827,4.818
1997,8,14,18.062,205.25,6.214
1997,8,15,17.626,255.309,9.557
1997,8,16,20.216,130.687,7.292
1997,8,17,21.944,235.947,11.325
1997,8,18,16.768,214.774,9.484
1997,8,19,15.306,186.362,6.033
1997,8,20,15.555,207.03,6.179
1997,8,21,14.271,141.104,3.891
1997,8,22,14.4,35.405,0.63
1997,8,23,16.259,114.45,1.097
1997,8,24,16.431,182.558,2.577
1997,8,25,16.611,227.053,6.34
1997,8,26,16.549,222.334,5.269
1997,8,27,17.285,198.366,4.171
1997,8,28,16.315,59.422,2.18
1997,8,29,16.774,149.848,2.193
1997,8,30,15.733,164.726,2.584
1997,8,31,16.614,145.16,2.663
1997,9,1,16.892,127.002,1.651
1997,9,2,18.744,133.773,3.702
1997,9,3,14.594,85.578,3.574
1997,9,4,12.217,163.458,6.171
1997,9,5,14.374,197.912,7.665
1997,9,6,16.594,160.711,7.063
1997,9,7,16.254,125.74,3.457
1997,9,8,15.82,144.698,4.171
1997,9,9,14.37,46.57,0.979
1997,9,10,15.725,133.335,2.876
1997,9,11,15.37,162.264,4.945
1997,9,12,15.982,67.825,1.684
1997,9,13,16.344,140.178,2.235
1997,9,14,16.149,142.568,2.345
1997,9,15,18.107,181.766,6.955
1997,9,16,13.973,166.401,6.157
1997,9,17,12.714,200.961,5.421
1997,9,18,16.917,176.795,6.378
1997,9,19,17.277,179.505,7.197
1997,9,20,13.825,23.68,1.529
1997,9,21,8.15,148.258,4.388
1997,9,22,9.96,193.965,5.72
1997,9,23,9.731,26.465,2.009
1997,9,24,5.617,183.007,4.319
1997,9,25,9.628,151.998,4.586
1997,9,26,11.106,145.53,4.014
1997,9,27,9.678,181.062,4.598
1997,9,28,9.321,179.086,3.626
1997,9,29,12.655,31.255,0.774
1997,9,30,14.254,130.58,4.261
1997,10,1,7.223,140.344,3.962
1997,10,2,5.542,120.458,3.144
1997,10,3,5.857,130.886,2.699
1997,10,4,9.225,128.739,3.005
1997,10,5,11.468,26.971,1.023
1997,10,6,13.594,117.927,4.353
1997,10,7,11.451,168.654,7.104
1997,10,8,7.677,163.102,4.888
1997,10,9,8.824,116.07,4.222
1997,10,10,13.612,105.344,4.949
1997,10,11,7.431,158.124,5.526
1997,10,12,6.85,96.412,3.971
1997,10,13,8.379,89.767,3.308
1997,10,14,9.221,133.252,3.505
1997,10,15,10.711,80.12,2.7
1997,10,16,10.389,74.189,3.724
1997,10,17,8.148,103.525,4.024
1997,10,18,6.949,104.354,2.375
1997,10,19,4.993,137.146,1.783
1997,10,20,5.784,69.671,1.603
1997,10,21,5.58,119.735,1.905
1997,10,22,1.111,92.544,1.008
1997,10,23,-1.025,118.438,2.419
1997,10,24,-0.519,110.437,2.233
1997,10,25,-0.023,100.534,1.742
1997,10,26,0.161,127.834,2.017
1997,10,27,0.928,2.758,0.553
1997,10,28,1.383,21.028,0.407
1997,10,29,2.495,81.625,1.514
1997,10,30,4.099,94.076,1.647
1997,10,31,3.256,109.459,1.482
1997,11,1,8.925,78.162,2.048
1997,11,2,12.13,17.325,0.358
1997,11,3,9.945,76.192,2.032
1997,11,4,8.34,62.121,2.165
1997,11,5,7.048,69.683,1.726
1997,11,6,4.055,93.954,1.989
1997,11,7,1.912,92.033,1.166
1997,11,8,2.672,57.295,1.955
1997,11,9,5.195,10.532,0.764
1997,11,10,6.912,30.849,0.466
1997,11,11,3.446,27.422,1.814
1997,11,12,-1.537,88.118,2.486
1997,11,13,-3.213,100.599,2.467
1997,11,14,-3.796,25.732,1.606
1997,11,15,-1.881,43.501,1.395
1997,11,16,-3.363,24.949,1.302
1997,11,17,-3.075,76.951,1.978
1997,11,18,-4.477,86.737,1.939
1997,11,19,-1.651,64.748,1.249
1997,11,20,-1.406,71.315,0.975
1997,11,21,0.34,39.891,1.002
1997,11,22,-2.937,20.141,0.91
1997,11,23,-4.138,54.859,1.527
1997,11,24,-2.211,13.18,0.48
1997,11,25,-5.657,69.825,1.126
1997,11,26,2.418,42.03,1.246
1997,11,27,-4.076,13.012,0.641
1997,11,28,-7.311,71.215,0.863
1997,11,29,-2.932,74.031,1.368
1997,11,30,-3.023,80.15,1.084
1997,12,1,-3.572,10.408,0.398
1997,12,2,-0.522,15.14,1.674
1997,12,3,0.516,75.447,2.126
1997,12,4,-2.521,44.541,0.563
1997,12,5,-1.07,24.05,0.339
1997,12,6,-0.356,17.721,0.598
1997,12,7,-0.918,19.166,0.756
1997,12,8,-5.138,72.998,0.644
1997,12,9,-8.271,66.578,0.415
1997,12,10,-8.025,72.32,0.466
1997,12,11,-9.739,69.176,0.318
1997,12,12,-10.281,56.487,0.355
1997,12,13,-2.332,42.292,0.837
1997,12,14,-5.944,44.442,0.854
1997,12,15,-16.056,67.152,0.414
1997,12,16,-7.256,43.762,0.475
1997,12,17,-1.772,61.654,0.946
1997,12,18,-4.819,70.634,0.822
1997,12,19,-2.019,38.086,1.209
1997,12,20,-4.019,57.479,0.832
1997,12,21,-11.327,70.946,0.478
1997,12,22,-11.99,71.047,0.402
